Filtered prefixes @ https://lg.ix.br | ASN | AS-NAME | AS Rank | Source | Country | PeeringDB link
3 | 266156 | SERVICOS DE COMUNICACAO LTDA | 10322 | LACNIC | BR | https://www.peeringdb.com/asn/266156
3 | 266201 | VERO S.A | 1361 | LACNIC | BR | https://www.peeringdb.com/asn/266201
3 | 266416 | L3 NETWORKS E TELECOMUNICACOES LTDA | 2469 | LACNIC | BR | https://www.peeringdb.com/asn/266416
3 | 268076 | WEBNET TELECOM | 10732 | LACNIC | BR | https://www.peeringdb.com/asn/268076
3 | 268689 | ELEVEL TECNOLOGIA LTDA | 906 | LACNIC | BR | https://www.peeringdb.com/asn/268689
3 | 268892 | DBS TELECOM EIRELI - ME | 4010 | LACNIC | BR | https://www.peeringdb.com/asn/268892
3 | 268979 | Edvaldo de J.Silva-ME | 33129 | LACNIC | BR | https://www.peeringdb.com/asn/268979
3 | 269170 | Sp-link Telecom Comunicacao Multimidia - Scm LTDA | 10663 | LACNIC | BR | https://www.peeringdb.com/asn/269170
3 | 269595 | VGRNET INFORMATICA LTDA | 845 | LACNIC | BR | https://www.peeringdb.com/asn/269595
3 | 270593 | NAVEG FIBRA | 6887 | LACNIC | BR | https://www.peeringdb.com/asn/270593
3 | 270622 | AGINET DATACENTER INFORMATICA LTDA | 47871 | LACNIC | BR | https://www.peeringdb.com/asn/270622
3 | 271537 | Mino Host Hospedagem e Desenvolvimento de Sites | 78320 | LACNIC | BR | https://www.peeringdb.com/asn/271537
3 | 271590 | HELOISA SAMPAIO PINTO TELECOMUNICACOES | 33575 | LACNIC | BR | https://www.peeringdb.com/asn/271590
3 | 266092 | R. COSTA DO NASCIMENTO | 7173 | LACNIC | BR | https://www.peeringdb.com/asn/266092
3 | 52892 | COPREL TELECOM LTDA | 4358 | LACNIC | BR | https://www.peeringdb.com/asn/52892
2 | 20473 | AS-VULTR | 92 | ARIN | US | https://www.peeringdb.com/asn/20473
2 | 27693 | NipBr - NipCable do Brasil Telecom LTDA | 1039 | LACNIC | BR | https://www.peeringdb.com/asn/27693
2 | 28178 | Networld Provedor e Servicos de Internet Ltda | 2134 | LACNIC | BR | https://www.peeringdb.com/asn/28178
2 | 28370 | GUIFAMI Informatica Ltda. | 1875 | LACNIC | BR | https://www.peeringdb.com/asn/28370
2 | 52571 | G2G COM PROD ELETRO E SERV LTDA | 3119 | LACNIC | BR | https://www.peeringdb.com/asn/52571
2 | 52613 | GIGA MAIS FIBRA TELECOMUNICACOES S.A. VIP | 1863 | LACNIC | BR | https://www.peeringdb.com/asn/52613
2 | 52662 | TELECALL TELECOMUNICACOES | 3512 | LACNIC | BR | https://www.peeringdb.com/asn/52662
2 | 53038 | IDC19 - WDI SOLUCOES EM TEC INFORMACAO LTDA | 6517 | LACNIC | BR | https://www.peeringdb.com/asn/53038
2 | 53048 | CELANTE SERVICOS DE TELECOMUNICACOES LTDA - EPP | 1127 | LACNIC | BR | https://www.peeringdb.com/asn/53048
2 | 61582 | ATRIX ENGENHARIA DE TELECOMUNICACOES LTDA | 2066 | LACNIC | BR | https://www.peeringdb.com/asn/61582
2 | 61624 | INFNOC TECNOLOGIA LTDA | 5485 | LACNIC | BR | https://www.peeringdb.com/asn/61624
2 | 262343 | Net Aki Internet Ltda | 4388 | LACNIC | BR | https://www.peeringdb.com/asn/262343
2 | 262725 | RG SILVEIRA LTDA | 1323 | LACNIC | BR | https://www.peeringdb.com/asn/262725
2 | 262731 | CTINET SOLUCOES EM CONECTIVIDADE E INFORMATICA LTD | 3100 | LACNIC | BR | https://www.peeringdb.com/asn/262731
2 | 262822 | WE RADIO COMUNICACOES LTDA EPP | 21300 | LACNIC | BR | https://www.peeringdb.com/asn/262822
2 | 263415 | EGR NET TELECOMUNICACOES LTDA | 3931 | LACNIC | BR | https://www.peeringdb.com/asn/263415
2 | 263445 | SEM LIMITE COMUNICACOES LTDA - ME | 4021 | LACNIC | BR | https://www.peeringdb.com/asn/263445
2 | 263596 | GRV FIBRA | 9370 | LACNIC | BR | https://www.peeringdb.com/asn/263596
2 | 263623 | GOX S.A. | 5368 | LACNIC | BR | https://www.peeringdb.com/asn/263623
2 | 263626 | G-LAB Telecom Informatica LTDA - ME | 2090 | LACNIC | BR | https://www.peeringdb.com/asn/263626
2 | 263648 | PONTOCOMNET SERVICOS DE INTERNET LTDA | 9384 | LACNIC | BR | https://www.peeringdb.com/asn/263648
2 | 263877 | rede banda larga | 3174 | LACNIC | BR | https://www.peeringdb.com/asn/263877
2 | 263928 | JBMNET TELECOM | 5552 | LACNIC | BR | https://www.peeringdb.com/asn/263928
2 | 263946 | HIGH CONNECT REDES DE TELECOMUNICACOES LTDA | 9998 | LACNIC | BR | https://www.peeringdb.com/asn/263946
2 | 264008 | LANCA SERVICOS DE INFORMATICA LTDA - ME | 24152 | LACNIC | BR | https://www.peeringdb.com/asn/264008
2 | 264228 | BTT TELECOMUNICACOES S.A. | 5052 | LACNIC | BR | https://www.peeringdb.com/asn/264228
2 | 265290 | Uplink Telecom | 1638 | LACNIC | BR | https://www.peeringdb.com/asn/265290
2 | 265311 | Bezerra Speed Internet | 3215 | LACNIC | BR | https://www.peeringdb.com/asn/265311
2 | 265315 | BINDNET RJ | 5551 | LACNIC | BR | https://www.peeringdb.com/asn/265315
2 | 265436 | SkyNet Telecomunicacoes | 2092 | LACNIC | BR | https://www.peeringdb.com/asn/265436
2 | 265475 | MUVNET TELECOM | 3500 | LACNIC | BR | https://www.peeringdb.com/asn/265475
2 | 266389 | M2B - SOLUCOES EM TECNOLOGIA EIRELLI ME | 5519 | LACNIC | BR | https://www.peeringdb.com/asn/266389
2 | 266409 | SECW TELECOM | 768 | LACNIC | BR | https://www.peeringdb.com/asn/266409
2 | 266428 | R L A World Net LTDA | 2000 | LACNIC | BR | https://www.peeringdb.com/asn/266428
2 | 266962 | G M DA COSTA INTERNET | 6657 | LACNIC | BR | https://www.peeringdb.com/asn/266962
2 | 267013 | INTERNET SOLUTION PROVIDER TELECOM. LTDA ME | 33129 | LACNIC | BR | https://www.peeringdb.com/asn/267013
2 | 267456 | INOVANETCE TELECOM | 11247 | LACNIC | BR | https://www.peeringdb.com/asn/267456
2 | 267588 | MaxWeb Telecom | 2918 | LACNIC | BR | https://www.peeringdb.com/asn/267588
2 | 268106 | Link Speed | 4463 | LACNIC | BR | https://www.peeringdb.com/asn/268106
2 | 268205 | Rede Brasil Networks | 8773 | LACNIC | BR | https://www.peeringdb.com/asn/268205
2 | 268551 | DMC TELECOM | 10675 | LACNIC | BR | https://www.peeringdb.com/asn/268551
2 | 268842 | Igape Telecomunicacoes LTDA | 33689 | LACNIC | BR | https://www.peeringdb.com/asn/268842
2 | 268952 | MZ NET FIBRA | 6737 | LACNIC | BR | https://www.peeringdb.com/asn/268952
2 | 269036 | ATEX NET TELECOMUNICACOES LTDA | 5020 | LACNIC | BR | https://www.peeringdb.com/asn/269036
2 | 269391 | P&N NET PROVEDOR | 10698 | LACNIC | BR | https://www.peeringdb.com/asn/269391
2 | 270724 | CLIENT.CO SERVICOS E TELECOMUNICACOES LTDA | 1152 | LACNIC | BR | https://www.peeringdb.com/asn/270724
2 | 270943 | FIBINET NETWORKS TELECOMUNICACOES LTDA | 10717 | LACNIC | BR | https://www.peeringdb.com/asn/270943
2 | 271578 | M A Link Telecomunicacoes Consortes Ltda | 2233 | LACNIC | BR | https://www.peeringdb.com/asn/271578
2 | 272725 | SILASNET PROVEDOR | 78320 | LACNIC | BR | https://www.peeringdb.com/asn/272725
2 | 274607 | GHT Telecom | 11254 | LACNIC | BR | https://www.peeringdb.com/asn/274607
2 | 28165 | Wireless Comm Services LTDA | 3782 | LACNIC | BR | https://www.peeringdb.com/asn/28165
2 | 28210 | GIGA MAIS FIBRA TELECOMUNICACOES S.A. | 1217 | LACNIC | BR | https://www.peeringdb.com/asn/28210
2 | 52794 | Net Flex Ltda ME | 4487 | LACNIC | BR | https://www.peeringdb.com/asn/52794
2 | 264100 | RIO CABLE TELECOM LTDA | 5134 | LACNIC | BR | https://www.peeringdb.com/asn/264100
2 | 267942 | PRIMELINE LATAM LTDA | 11128 | LACNIC | BR | https://www.peeringdb.com/asn/267942
2 | 270551 | CORELINK CONECT SEG E TRANSP DE DADOS LTDA | 7074 | LACNIC | BR | https://www.peeringdb.com/asn/270551
2 | 273339 | Su@net Provedor Ltda | 7222 | LACNIC | BR | https://www.peeringdb.com/asn/273339
2 | 267332 | PROVEDOR NET MAIS LTDA - ME | 4632 | LACNIC | BR | https://www.peeringdb.com/asn/267332
2 | 267427 | NETBITS & GOBLE LTDA | 2219 | LACNIC | BR | https://www.peeringdb.com/asn/267427
2 | 270596 | Rafael Olegario Silva De Lima Servico De Comunicac | 2363 | LACNIC | BR | https://www.peeringdb.com/asn/270596
2 | 28188 | Pronto Net Ltda. | 8381 | LACNIC | BR | https://www.peeringdb.com/asn/28188
2 | 262517 | NIQTURBO PIMENTEL E MOREIRA LTDA | 1991 | LACNIC | BR | https://www.peeringdb.com/asn/262517
2 | 263097 | VN INFRAESTRUTURA DE REDES LTDA. | 1371 | LACNIC | BR | https://www.peeringdb.com/asn/263097
2 | 266584 | Conect- Provedor de Internet Ltda EPP | 3466 | LACNIC | BR | https://www.peeringdb.com/asn/266584
2 | 269434 | TAGUANET INFORMATICA | 39617 | LACNIC | BR | https://www.peeringdb.com/asn/269434
2 | 263025 | ISPTEC Sistemas de Comunicacao Eireli | 1581 | LACNIC | BR | https://www.peeringdb.com/asn/263025
2 | 263609 | Free Way Tecnologia | 3491 | LACNIC | BR | https://www.peeringdb.com/asn/263609
2 | 263340 | CPW Internet | 26962 | LACNIC | BR | https://www.peeringdb.com/asn/263340
2 | 267409 | SARTOR INTERNET LTDA | 6756 | LACNIC | BR | https://www.peeringdb.com/asn/267409
2 | 11835 | -Reserved AS- | 5982 |  |  | https://www.peeringdb.com/asn/11835
2 | 270327 | SECRETARIA MUNICIPAL DE GESTAO - SEMGE | 59515 | LACNIC | BR | https://www.peeringdb.com/asn/270327
2 | 270966 | 4W NET ES TELECOMUNICACOES LTDA | 3060 | LACNIC | BR | https://www.peeringdb.com/asn/270966
2 | 272748 | E. DO NASCIMENTO PEREIRA | 78320 | LACNIC | BR | https://www.peeringdb.com/asn/272748
2 | 273730 | GILMAR F DE ALMEIDA | 2659 | LACNIC | BR | https://www.peeringdb.com/asn/273730
2 | 272422 | NETJET PROVEDOR DE ACESSO A INTERNET LTDA | 78320 | LACNIC | BR | https://www.peeringdb.com/asn/272422
2 | 61615 | FALE S.A. | 34475 | LACNIC | BR | https://www.peeringdb.com/asn/61615
2 | 268762 | TBK DA SILVA INTERNET - ME | 7109 | LACNIC | BR | https://www.peeringdb.com/asn/268762
2 | 266284 | NORTE-TEL TELECOMUNICACOES LTDA | 1984 | LACNIC | BR | https://www.peeringdb.com/asn/266284
2 | 53147 | FONTES SOLUCOES TECNOLOGICAS LTDA | 9149 | LACNIC | BR | https://www.peeringdb.com/asn/53147
2 | 266117 | G-LINK FIBRA | 34464 | LACNIC | BR | https://www.peeringdb.com/asn/266117
2 | 271441 | J.A TELECOM.PE | 5534 | LACNIC | BR | https://www.peeringdb.com/asn/271441
2 | 40356 | -Reserved AS- | 48110 |  |  | https://www.peeringdb.com/asn/40356
2 | 268955 | FLY NET SERVICOS EM TECNOLOGIA DA INFORMACAO LTDA | 10215 | LACNIC | BR | https://www.peeringdb.com/asn/268955
2 | 272191 | BNJ COMUNICACAO E SERVICOS LTDA | 78320 | LACNIC | BR | https://www.peeringdb.com/asn/272191
2 | 61605 | SELIGA TELECOMUNICACOES DO BRASIL EIRELI | 11295 | LACNIC | BR | https://www.peeringdb.com/asn/61605
1 | 11921 | SECRELNET INFORMATICA LTDA | 8076 | LACNIC | BR | https://www.peeringdb.com/asn/11921
1 | 16921 | INTELIGLOBE-1 | 5986 | ARIN | US | https://www.peeringdb.com/asn/16921
1 | 28135 | ASSOCIACAO NACIONAL PARA INCLUSAO DIGITAL - ANID | 14612 | LACNIC | BR | https://www.peeringdb.com/asn/28135
1 | 28140 | Maxiweb Internet Provider | 6348 | LACNIC | BR | https://www.peeringdb.com/asn/28140
1 | 28204 | Keraxweb Servicos de Int. e Internet Ltda | 21291 | LACNIC | BR | https://www.peeringdb.com/asn/28204
1 | 28296 | Acessa Telecomunicacoes Ltda | 20170 | LACNIC | BR | https://www.peeringdb.com/asn/28296
1 | 40676 | AS40676 | 575 | ARIN | US | https://www.peeringdb.com/asn/40676
1 | 52606 | BRASILNETS COM. ATAC. DE EQ. INFORMATICA LTDA ME | 26962 | LACNIC | BR | https://www.peeringdb.com/asn/52606
1 | 52631 | ISP PROVERNET INFORMATICA LTDA - ME | 5443 | LACNIC | BR | https://www.peeringdb.com/asn/52631
1 | 52695 | NETFACIL LTDA ME | 3479 | LACNIC | BR | https://www.peeringdb.com/asn/52695
1 | 52871 | TASCOM TELECOMUNICACOES LTDA | 754 | LACNIC | BR | https://www.peeringdb.com/asn/52871
1 | 53076 | INTERPIRA INTERNET SERVICE PROVIDER LTDA | 19259 | LACNIC | BR | https://www.peeringdb.com/asn/53076
1 | 53086 | OAI LTDA | 9563 | LACNIC | BR | https://www.peeringdb.com/asn/53086
1 | 61512 | GIG@NET SOCIEDAD ANONIMA | 1045 | LACNIC | PY | https://www.peeringdb.com/asn/61512
1 | 61642 | NEXNETT Brasil Telecom | 4414 | LACNIC | BR | https://www.peeringdb.com/asn/61642
1 | 138915 | KAOPU-HK Kaopu Cloud HK Limited | 1667 | APNIC | HK | https://www.peeringdb.com/asn/138915
1 | 262412 | AGERA TELECOMUNICACOES SA | 26185 | LACNIC | BR | https://www.peeringdb.com/asn/262412
1 | 262773 | PROXXIMA TELECOMUNICACOES SA | 1067 | LACNIC | BR | https://www.peeringdb.com/asn/262773
1 | 262978 | Centro de Tecnologia Armazem Datacenter Ltda. | 9825 | LACNIC | BR | https://www.peeringdb.com/asn/262978
1 | 263301 | Braslink Network Informatica Ltda | 9023 | LACNIC | BR | https://www.peeringdb.com/asn/263301
1 | 263541 | IMF NETWORK DATA LTDA - ME | 3501 | LACNIC | BR | https://www.peeringdb.com/asn/263541
1 | 264119 | UBA CONECT TELECOM LTDA - ME | 6884 | LACNIC | BR | https://www.peeringdb.com/asn/264119
1 | 264197 | NETMANIA LTDA ME | 4078 | LACNIC | BR | https://www.peeringdb.com/asn/264197
1 | 264270 | NETCOL - SERVICO DE PROVEDORES DE ACESSO LTDA | 6659 | LACNIC | BR | https://www.peeringdb.com/asn/264270
1 | 264397 | SUPRANET TELECOM INFORMATICA LTDA | 9564 | LACNIC | BR | https://www.peeringdb.com/asn/264397
1 | 264485 | M. COELHO M. LIMA SERVICOS DE TELECOMUNICACAO - ME | 8665 | LACNIC | BR | https://www.peeringdb.com/asn/264485
1 | 264590 | NAVEX TELECOM | 3457 | LACNIC | BR | https://www.peeringdb.com/asn/264590
1 | 265187 | STEEL WEB PROVEDORES DE ACESSO LTDA | 10702 | LACNIC | BR | https://www.peeringdb.com/asn/265187
1 | 265417 | Frasanet Prov. de internet e com. de info. ltda | 6828 | LACNIC | BR | https://www.peeringdb.com/asn/265417
1 | 265477 | GTBA TELECOM LTDA ME | 7054 | LACNIC | BR | https://www.peeringdb.com/asn/265477
1 | 266166 | GLOBALNET SERVICOS E INFORMATICA LTDA-ME | 2525 | LACNIC | BR | https://www.peeringdb.com/asn/266166
1 | 266185 | Spin Telecomunicacoes | 7069 | LACNIC | BR | https://www.peeringdb.com/asn/266185
1 | 266253 | C A DE SOUZA - EPP | 4062 | LACNIC | BR | https://www.peeringdb.com/asn/266253
1 | 266602 | ODATA S.A. | 3455 | LACNIC | BR | https://www.peeringdb.com/asn/266602
1 | 267157 | Provedor Ls Net | 32953 | LACNIC | BR | https://www.peeringdb.com/asn/267157
1 | 267158 | MG NET TELECOMUNICACOES LTDA ME | 7161 | LACNIC | BR | https://www.peeringdb.com/asn/267158
1 | 267170 | SM DA SILVA SERVICOS DE COMUNICACAO | 33470 | LACNIC | BR | https://www.peeringdb.com/asn/267170
1 | 267563 | Ei Telecom LTDA | 3893 | LACNIC | BR | https://www.peeringdb.com/asn/267563
1 | 268126 | DGNETSP EIRELI | 2714 | LACNIC | BR | https://www.peeringdb.com/asn/268126
1 | 268344 | TECKLINK NET TELECOMUNICACOES EIRELI - EPP | 9823 | LACNIC | BR | https://www.peeringdb.com/asn/268344
